noise_type,snr_db,mean_wer,median_wer,mean_cer,median_cer,n
cafe,20,0.017824603174603174,0.0,0.00647076837957658,0.0,500
cafe,10,0.026781746031746028,0.0,0.010414740248379949,0.0,500
cafe,5,0.05171349206349205,0.0,0.02430206043436261,0.0,500
cafe,0,0.19156349206349205,0.125,0.1115184763289957,0.048780487804878,500
cafe,-5,0.6221444444444444,0.5714285714285714,0.4270205115036186,0.35,500
cafe,-10,1.0294055555555555,1.0,0.7961262757177063,0.783461210571185,500
fan,20,0.01700555555555555,0.0,0.00601784007880036,0.0,500
fan,10,0.02066349206349206,0.0,0.008032451248085631,0.0,500
fan,5,0.03127857142857142,0.0,0.012985444889530507,0.0,500
fan,0,0.0728142857142857,0.0,0.03704323407556451,0.0,500
fan,-5,0.29364206349206345,0.1428571428571428,0.17820357820653215,0.0789473684210526,500
fan,-10,0.7272634920634921,0.775,0.5130384553422516,0.5,500
traffic,20,0.01675555555555555,0.0,0.0060599847570343935,0.0,500
traffic,10,0.016453174603174598,0.0,0.005862639812556661,0.0,500
traffic,5,0.020848412698412696,0.0,0.007857236476423297,0.0,500
traffic,0,0.0344063492063492,0.0,0.014348216888614807,0.0,500
traffic,-5,0.0666468253968254,0.0,0.035216550768525416,0.0,500
traffic,-10,0.2543936507936508,0.125,0.16430006067081118,0.0697674418604651,500
